EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_F1	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
32	05:30:11	0	0.0625	1.6537326574325562	0.9697	0.9697	0.9697	1.9706684350967407	0.9663	0.9663	0.9663	1.9706684350967407	0.9663	0.9663	0.9663
33	05:31:29	1	0.0625	1.6526576280593872	0.9701	0.9701	0.9701	1.9518553018569946	0.966	0.966	0.966	1.9518553018569946	0.966	0.966	0.966
34	05:32:44	2	0.0625	1.6569275856018066	0.9699	0.9699	0.9699	1.969407081604004	0.9651	0.9651	0.9651	1.969407081604004	0.9651	0.9651	0.9651
35	05:33:59	3	0.0625	1.642462134361267	0.9703	0.9703	0.9703	1.9554752111434937	0.9655	0.9655	0.9655	1.9554752111434937	0.9655	0.9655	0.9655
36	05:35:14	1	0.0312	1.641170859336853	0.97	0.97	0.97	1.9658641815185547	0.9652	0.9652	0.9652	1.9658641815185547	0.9652	0.9652	0.9652
37	05:36:29	2	0.0312	1.6461751461029053	0.9699	0.9699	0.9699	1.9665974378585815	0.9652	0.9652	0.9652	1.9665974378585815	0.9652	0.9652	0.9652
38	05:37:47	3	0.0312	1.6319750547409058	0.9702	0.9702	0.9702	1.953481674194336	0.9653	0.9653	0.9653	1.953481674194336	0.9653	0.9653	0.9653
39	05:39:07	1	0.0156	1.638027548789978	0.9698	0.9698	0.9698	1.956978440284729	0.9654	0.9654	0.9654	1.956978440284729	0.9654	0.9654	0.9654
40	05:40:24	2	0.0156	1.63644278049469	0.9699	0.9699	0.9699	1.9597547054290771	0.9654	0.9654	0.9654	1.9597547054290771	0.9654	0.9654	0.9654
41	05:41:40	3	0.0156	1.6381691694259644	0.9698	0.9698	0.9698	1.957625150680542	0.9652	0.9652	0.9652	1.957625150680542	0.9652	0.9652	0.9652
42	05:42:59	1	0.0078	1.637640357017517	0.9699	0.9699	0.9699	1.9576166868209839	0.9656	0.9656	0.9656	1.9576166868209839	0.9656	0.9656	0.9656
43	05:44:16	2	0.0078	1.6353800296783447	0.9698	0.9698	0.9698	1.9549015760421753	0.9655	0.9655	0.9655	1.9549015760421753	0.9655	0.9655	0.9655
44	05:45:32	3	0.0078	1.6362589597702026	0.9698	0.9698	0.9698	1.954646348953247	0.9655	0.9655	0.9655	1.954646348953247	0.9655	0.9655	0.9655
45	05:46:47	1	0.0039	1.6345785856246948	0.9698	0.9698	0.9698	1.9538239240646362	0.9655	0.9655	0.9655	1.9538239240646362	0.9655	0.9655	0.9655
46	05:48:05	2	0.0039	1.6345040798187256	0.9699	0.9699	0.9699	1.9542357921600342	0.9653	0.9653	0.9653	1.9542357921600342	0.9653	0.9653	0.9653
47	05:49:24	3	0.0039	1.6354631185531616	0.9698	0.9698	0.9698	1.9564677476882935	0.9654	0.9654	0.9654	1.9564677476882935	0.9654	0.9654	0.9654
48	05:50:44	1	0.0020	1.634793758392334	0.9699	0.9699	0.9699	1.955830454826355	0.9653	0.9653	0.9653	1.955830454826355	0.9653	0.9653	0.9653
49	05:52:03	2	0.0020	1.6348602771759033	0.9699	0.9699	0.9699	1.9552310705184937	0.9654	0.9654	0.9654	1.9552310705184937	0.9654	0.9654	0.9654
50	05:53:21	3	0.0020	1.634300708770752	0.9699	0.9699	0.9699	1.9546171426773071	0.9653	0.9653	0.9653	1.9546171426773071	0.9653	0.9653	0.9653
