EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_F1	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
1	12:51:28	0	1.0000	3.4946115016937256	0.9507	0.9507	0.9507	3.715195417404175	0.9473	0.9473	0.9473	3.715195417404175	0.9473	0.9473	0.9473
2	12:52:44	0	1.0000	2.6022112369537354	0.958	0.958	0.958	2.815412759780884	0.9545	0.9545	0.9545	2.815412759780884	0.9545	0.9545	0.9545
3	12:54:02	1	1.0000	3.5350170135498047	0.9521	0.9521	0.9521	3.57763934135437	0.952	0.952	0.952	3.57763934135437	0.952	0.952	0.952
4	12:55:18	2	1.0000	3.7298431396484375	0.9496	0.9496	0.9496	3.7749743461608887	0.9484	0.9484	0.9484	3.7749743461608887	0.9484	0.9484	0.9484
5	12:56:37	0	0.5000	2.0929384231567383	0.9657	0.9657	0.9657	2.316938877105713	0.9618	0.9618	0.9618	2.316938877105713	0.9618	0.9618	0.9618
6	12:57:57	0	0.5000	2.069953441619873	0.9663	0.9663	0.9663	2.377763271331787	0.9622	0.9622	0.9622	2.377763271331787	0.9622	0.9622	0.9622
7	12:59:18	1	0.5000	2.716606378555298	0.9581	0.9581	0.9581	2.908421277999878	0.9544	0.9544	0.9544	2.908421277999878	0.9544	0.9544	0.9544
8	13:00:41	2	0.5000	2.705589771270752	0.9573	0.9573	0.9573	3.0942435264587402	0.9515	0.9515	0.9515	3.0942435264587402	0.9515	0.9515	0.9515
9	13:02:00	1	0.2500	1.9520238637924194	0.9662	0.9662	0.9662	2.2212462425231934	0.962	0.962	0.962	2.2212462425231934	0.962	0.962	0.962
10	13:03:18	0	0.2500	1.7972240447998047	0.9683	0.9683	0.9683	2.0960540771484375	0.9649	0.9649	0.9649	2.0960540771484375	0.9649	0.9649	0.9649
11	13:04:37	1	0.2500	1.8385106325149536	0.9674	0.9674	0.9674	2.1509921550750732	0.9613	0.9613	0.9613	2.1509921550750732	0.9613	0.9613	0.9613
12	13:05:55	2	0.2500	1.8084994554519653	0.9681	0.9681	0.9681	2.12841534614563	0.9632	0.9632	0.9632	2.12841534614563	0.9632	0.9632	0.9632
13	13:07:16	0	0.1250	1.7299067974090576	0.9689	0.9689	0.9689	2.030665159225464	0.965	0.965	0.965	2.030665159225464	0.965	0.965	0.965
14	13:08:34	1	0.1250	1.7459278106689453	0.9688	0.9688	0.9688	2.057506799697876	0.9646	0.9646	0.9646	2.057506799697876	0.9646	0.9646	0.9646
15	13:09:53	2	0.1250	1.7579095363616943	0.9683	0.9683	0.9683	2.0528156757354736	0.964	0.964	0.964	2.0528156757354736	0.964	0.964	0.964
16	13:11:12	1	0.0625	1.7372983694076538	0.9688	0.9688	0.9688	2.03676176071167	0.9648	0.9648	0.9648	2.03676176071167	0.9648	0.9648	0.9648
17	13:12:27	0	0.0625	1.7041468620300293	0.9691	0.9691	0.9691	1.992814302444458	0.9653	0.9653	0.9653	1.992814302444458	0.9653	0.9653	0.9653
18	13:13:43	1	0.0625	1.6948537826538086	0.9691	0.9691	0.9691	2.00530743598938	0.9648	0.9648	0.9648	2.00530743598938	0.9648	0.9648	0.9648
19	13:14:58	2	0.0625	1.7068310976028442	0.9689	0.9689	0.9689	1.9916027784347534	0.9646	0.9646	0.9646	1.9916027784347534	0.9646	0.9646	0.9646
20	13:16:20	1	0.0312	1.6741055250167847	0.9695	0.9695	0.9695	1.964708685874939	0.9649	0.9649	0.9649	1.964708685874939	0.9649	0.9649	0.9649
21	13:17:37	2	0.0312	1.6881089210510254	0.9693	0.9693	0.9693	1.9854694604873657	0.9648	0.9648	0.9648	1.9854694604873657	0.9648	0.9648	0.9648
22	13:18:54	1	0.0156	1.6800100803375244	0.9694	0.9694	0.9694	1.972938895225525	0.9652	0.9652	0.9652	1.972938895225525	0.9652	0.9652	0.9652
23	13:20:12	0	0.0156	1.6808654069900513	0.9694	0.9694	0.9694	1.9708995819091797	0.9654	0.9654	0.9654	1.9708995819091797	0.9654	0.9654	0.9654
24	13:21:31	1	0.0156	1.6746008396148682	0.9697	0.9697	0.9697	1.9709770679473877	0.9646	0.9646	0.9646	1.9709770679473877	0.9646	0.9646	0.9646
25	13:22:45	2	0.0156	1.6718319654464722	0.9697	0.9697	0.9697	1.9650394916534424	0.9651	0.9651	0.9651	1.9650394916534424	0.9651	0.9651	0.9651
26	13:24:01	1	0.0078	1.6729551553726196	0.9696	0.9696	0.9696	1.9633735418319702	0.9652	0.9652	0.9652	1.9633735418319702	0.9652	0.9652	0.9652
27	13:25:20	2	0.0078	1.6739835739135742	0.9695	0.9695	0.9695	1.9678329229354858	0.9651	0.9651	0.9651	1.9678329229354858	0.9651	0.9651	0.9651
28	13:26:35	1	0.0039	1.6731101274490356	0.9695	0.9695	0.9695	1.96723473072052	0.9651	0.9651	0.9651	1.96723473072052	0.9651	0.9651	0.9651
29	13:27:56	2	0.0039	1.6727324724197388	0.9695	0.9695	0.9695	1.9681615829467773	0.9651	0.9651	0.9651	1.9681615829467773	0.9651	0.9651	0.9651
30	13:29:13	1	0.0020	1.671262502670288	0.9696	0.9696	0.9696	1.9664056301116943	0.9651	0.9651	0.9651	1.9664056301116943	0.9651	0.9651	0.9651
31	13:30:32	2	0.0020	1.6712775230407715	0.9696	0.9696	0.9696	1.9664409160614014	0.9651	0.9651	0.9651	1.9664409160614014	0.9651	0.9651	0.9651
32	13:31:48	1	0.0010	1.6715887784957886	0.9696	0.9696	0.9696	1.9664573669433594	0.9651	0.9651	0.9651	1.9664573669433594	0.9651	0.9651	0.9651
33	13:33:03	2	0.0010	1.6718517541885376	0.9696	0.9696	0.9696	1.96684730052948	0.9651	0.9651	0.9651	1.96684730052948	0.9651	0.9651	0.9651
34	13:34:21	1	0.0005	1.6717076301574707	0.9696	0.9696	0.9696	1.9665111303329468	0.9651	0.9651	0.9651	1.9665111303329468	0.9651	0.9651	0.9651
35	13:35:38	2	0.0005	1.6717361211776733	0.9696	0.9696	0.9696	1.9665025472640991	0.9651	0.9651	0.9651	1.9665025472640991	0.9651	0.9651	0.9651
36	13:36:52	1	0.0002	1.6717828512191772	0.9696	0.9696	0.9696	1.9665671586990356	0.9651	0.9651	0.9651	1.9665671586990356	0.9651	0.9651	0.9651
37	13:38:09	2	0.0002	1.671689510345459	0.9696	0.9696	0.9696	1.966510534286499	0.9651	0.9651	0.9651	1.966510534286499	0.9651	0.9651	0.9651
38	13:39:25	1	0.0001	1.6716701984405518	0.9696	0.9696	0.9696	1.9665031433105469	0.9651	0.9651	0.9651	1.9665031433105469	0.9651	0.9651	0.9651
39	13:40:49	2	0.0001	1.6716989278793335	0.9696	0.9696	0.9696	1.9665511846542358	0.9651	0.9651	0.9651	1.9665511846542358	0.9651	0.9651	0.9651
